entity,cluster_0,cluster_1,total_time
client01,0.0,0.9999999999999998,250.59570601851857
client02,0.6164698240464167,0.38353017595358335,405.9368402777778
client03,0.20448850439256347,0.7955114956074364,388.9715393518519
client04,0.0,1.0000000000000002,245.99263888888888
client05,0.0,1.0,337.6713078703704
client06,0.0,1.0,343.6729513888889
client07,0.4522586557588288,0.5477413442411713,401.7215509259259
client08,0.3880292991808545,0.6119707008191456,401.0445833333333
client09,0.6126213108626868,0.3873786891373134,395.937662037037
client10,0.0,1.0,87.47886574074074
client11,0.0,1.0,81.62121527777778
client12,0.2256519400397719,0.774348059960228,379.57799768518515
client13,0.6144917279028254,0.38550827209717475,362.260625
client14,0.014053645540718055,0.985946354459282,346.6940162037037
client15,0.0,1.0,47.574826388888894
client16,0.0,1.0000000000000002,360.527511574074
