feature,coefficient
client_client01,-1.4739831208194691
client_client02,1.0948574773708728
client_client03,1.2346377904896089
client_client04,-2.0082856112821266
client_client05,0.26719731402779767
client_client06,0.9006103607395182
client_client07,-0.4340721001957354
client_client08,0.5364989235027238
client_client09,-0.13134630769312067
client_client10,-0.5595644922328789
client_client11,0.023807392355569994
client_client12,0.23457180943213415
client_client13,-0.9387693612949938
client_client14,-0.08418360155812624
client_client15,0.3309952831586343
client_client16,1.0072463724076246
site_gru03,0.06881509378550502
site_gru05,0.5619585773181929
site_gru06,0.6347016631257575
site_rnp_rj,-1.4933410478404308
site_rnp_sp,0.2280838420190065
throughput_download,0.7119656231636373
throughput_upload,1.9789568068946097
rtt_download,-0.24444459487944312
rtt_upload,0.4898450886223994
throughput_download_std,-0.17995410761814348
throughput_upload_std,-0.4312293971988961
rtt_download_std,-0.14279716629010147
rtt_upload_std,0.48422636269631597
